room_id;room_type;city;borough;neighborhood;reviews;overall_satisfaction;accommodates;bedrooms;price;property_type
17278368;Shared room;Sao Paulo;SAO PAULO;Jardim São Luís;0;0.0;5;1.0;62.0;Boat
17847618;Shared room;Sao Paulo;SAO PAULO;Cidade Dutra;0;0.0;2;1.0;43.0;House
2405652;Shared room;Sao Paulo;SAO PAULO;Campo Belo;0;0.0;16;1.0;47.0;Hostel
18946102;Shared room;Sao Paulo;SAO BERNARDO DO CAMPO;São Bernardo do Campo;0;0.0;1;1.0;46.0;House
2116793;Shared room;Sao Paulo;SAO PAULO;Pinheiros;1;0.0;2;1.0;52.0;Apartment
13314234;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;2;1.0;46.0;Apartment
15744551;Shared room;Sao Paulo;SAO PAULO;São Lucas;0;0.0;3;1.0;52.0;Apartment
19465514;Shared room;Sao Paulo;SAO PAULO;Vila Sônia;0;0.0;2;1.0;49.0;House
15005239;Shared room;Sao Paulo;SAO PAULO;Cidade Dutra;1;0.0;2;1.0;62.0;House
16145665;Shared room;Sao Paulo;BARUERI;Barueri;0;0.0;1;1.0;31.0;Apartment
18646110;Shared room;Sao Paulo;OSASCO;Osasco;0;0.0;1;1.0;10.0;Apartment
17537639;Shared room;Sao Paulo;SAO PAULO;Cidade Dutra;3;4.5;1;1.0;21.0;House
8903173;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;2;1.0;31.0;Apartment
16162965;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;1;1.0;12.0;Apartment
5560870;Shared room;Sao Paulo;SAO PAULO;Cursino;0;0.0;1;1.0;28.0;Apartment
9230041;Shared room;Sao Paulo;SAO PAULO;Perdizes;1;0.0;1;1.0;27.0;Apartment
7731669;Shared room;Sao Paulo;SAO PAULO;Jardim Paulista;0;0.0;16;1.0;34.0;Bed & Breakfast
17316522;Shared room;Sao Paulo;SAO PAULO;Itaim Bibi;1;0.0;1;1.0;12.0;Apartment
14447745;Shared room;Sao Paulo;SAO PAULO;Butantã;0;0.0;1;1.0;11.0;House
6391271;Shared room;Sao Paulo;TABOAO DA SERRA;Taboão da Serra;0;0.0;1;1.0;12.0;Apartment
2690043;Shared room;Sao Paulo;SAO PAULO;Moema;0;0.0;1;1.0;31.0;Apartment
6738452;Shared room;Sao Paulo;SAO PAULO;República;16;5.0;2;1.0;21.0;Apartment
4434704;Shared room;Sao Paulo;GUARULHOS;Guarulhos;0;0.0;3;1.0;28.0;Apartment
1045098;Shared room;Sao Paulo;SAO PAULO;Cambuci;0;0.0;4;1.0;31.0;House
14944273;Shared room;Sao Paulo;SAO PAULO;Vila Andrade;0;0.0;1;1.0;22.0;Apartment
18669147;Shared room;Sao Paulo;SAO PAULO;Cidade Dutra;0;0.0;2;1.0;22.0;House
14685848;Shared room;Sao Paulo;SAO PAULO;Jardim Paulista;29;4.5;2;1.0;24.0;Apartment
